"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"55","","0","1114","0.1","18335","733.4","15833","4191","0","11","WW2019 Aisle 4 Base Image V7","Recording011_Participant011_00.00.00-00.56.14.mp4","P11.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"27","","0","1086","0.12","17840","713.6","15750","3789","0","11","WW2019 Aisle 4 Base Image V7","Recording011_Participant011_00.00.00-00.56.14.mp4","P11.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"56","","0","1115","0.14","18339","733.56","15815","4177","0","11","WW2019 Aisle 4 Base Image V7","Recording011_Participant011_00.00.00-00.56.14.mp4","P11.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"51","","0","1110","0.16","18297","731.88","15391","3416","0","11","WW2019 Aisle 4 Base Image V7","Recording011_Participant011_00.00.00-00.56.14.mp4","P11.csv","SD2B19S2","path1768","2","B18S2","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 250ml"
"54","","0","1113","0.22","18325","733","15090","4001","0","11","WW2019 Aisle 4 Base Image V7","Recording011_Participant011_00.00.00-00.56.14.mp4","P11.csv","SD2B19S4","path1780","2","B19S4","V","B19S1-6 V","Energy","Blue","Energy Multi Pack","V Energy Drink Blue 4x275ml"
