"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"85","","0","250","0.12","3524","140.96","15149","3634","0","354","WW2019 Aisle 4 Base Image V7","Recording357_Participant354_00.00.00-00.08.31.mp4","P354.csv","SD2B19S2","path1768","2","B18S2","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 250ml"
"82","","0","247","0.16","3506","140.24","15700","3529","0","354","WW2019 Aisle 4 Base Image V7","Recording357_Participant354_00.00.00-00.08.31.mp4","P354.csv","SD2B19S2","path1012","2","B19S2","V","B19S1-6 V","Energy","Green","Energy Single Serve","V Energy Drink 250ml"
"84","","0","249","0.18","3519","140.76","15411","3577","0","354","WW2019 Aisle 4 Base Image V7","Recording357_Participant354_00.00.00-00.08.31.mp4","P354.csv","SD2B19S2","path1768","2","B18S2","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 250ml"
"86","","0","251","0.24","3529","141.16","15847","3390","0","354","WW2019 Aisle 4 Base Image V7","Recording357_Participant354_00.00.00-00.08.31.mp4","P354.csv","SD2B19S1","path875-9","2","B19S1","V","B19S1-6 V","Energy","Blue","Energy Single Serve","V Forbidden Fruits Energy Drink 500ml"
"83","","0","248","0.26","3511","140.44","15539","3561","0","354","WW2019 Aisle 4 Base Image V7","Recording357_Participant354_00.00.00-00.08.31.mp4","P354.csv","SD2B19S2","path1768","2","B18S2","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 250ml"
