"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"28","","0","1539","0.12","18924","756.96","15370","3789","0","350","WW2019 Aisle 4 Base Image V7","Recording353_Participant350_00.00.00-00.37.01.mp4","P350.csv","SD2B19S3","path1748","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Single Serve","V Energy Drink Sugar Free With Guarana 250ml"
"30","","0","1541","0.14","18939","757.56","13719","4221","0","350","WW2019 Aisle 4 Base Image V7","Recording353_Participant350_00.00.00-00.37.01.mp4","P350.csv","SD2B17S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
"29","","0","1540","0.24","18929","757.16","15103","3802","0","350","WW2019 Aisle 4 Base Image V7","Recording353_Participant350_00.00.00-00.37.01.mp4","P350.csv","SD2B19S3","path1746","2","B19S3","V","B19S1-6 V","Energy","Blue","Energy Single Serve","V Energy Drink Blue 250ml"
