"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"52","","0","1138","0.1","16294","651.76","14096","4054","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"451","","0","1726","0.1","27235","1089.4","14839","4073","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B18S4","path1776","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 4x250ml"
"467","","0","1770","0.1","28126","1125.04","15603","3352","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S1","path1730","2","B19S1","V","B19S1-6 V","Energy","Blue","Energy Single Serve","V Energy Drink Blue 500ml"
"50","","0","1133","0.1","16092","643.68","15782","4547","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S6","path1036-0","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink With Guarana 4x500ml"
"47","","0","1130","0.12","16064","642.56","15549","4678","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S6","path1809","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 6x275ml"
"42","","0","1125","0.58","16003","640.12","15241","4528","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S6","path1807","2","B19S6","Red Bull","B19S6 Redbull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 473ml x4 pack"
"49","","0","1132","0.16","16078","643.12","15667","4776","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S6","path1036-0","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink With Guarana 4x500ml"
"182","","0","1384","0.16","21337","853.48","15562","4515","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S6","path1809","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 6x275ml"
"48","","0","1131","0.26","16068","642.72","15549","4678","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S6","path1809","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 6x275ml"
"31","","0","1112","0.28","15801","632.04","13761","3999","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"43","","0","1126","0.28","16018","640.72","15703","4547","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S6","path1036-0","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink With Guarana 4x500ml"
"45","","0","1128","0.28","16038","641.52","15786","4689","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S6","path1036-0","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink With Guarana 4x500ml"
"46","","0","1129","0.28","16051","642.04","15304","4520","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S6","path1807","2","B19S6","Red Bull","B19S6 Redbull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 473ml x4 pack"
"44","","0","1127","0.22","16031","641.24","15766","4678","0","307","WW2019 Aisle 4 Base Image V7","Recording310_Participant307_00.00.00-00.44.29.mp4","P307.csv","SD2B19S6","path1036-0","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink With Guarana 4x500ml"
