"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"39","","0","1500","0.1","22498","899.92","15269","3619","0","266","WW2019 Aisle 4 Base Image V7","Recording269_Participant266_00.00.00-00.32.30.mp4","P266.csv","SD2B19S2","path1768","2","B18S2","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 250ml"
"40","","0","1501","0.1","22503","900.12","15250","3560","0","266","WW2019 Aisle 4 Base Image V7","Recording269_Participant266_00.00.00-00.32.30.mp4","P266.csv","SD2B19S2","path1768","2","B18S2","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 250ml"
"31","","0","1491","0.6","22365","894.6","15110","4183","0","266","WW2019 Aisle 4 Base Image V7","Recording269_Participant266_00.00.00-00.32.30.mp4","P266.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"35","","0","1496","0.16","22414","896.56","14381","3877","0","266","WW2019 Aisle 4 Base Image V7","Recording269_Participant266_00.00.00-00.32.30.mp4","P266.csv","SD2B18S3","path1738","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 355ml"
"33","","0","1494","0.18","22398","895.92","14182","4056","0","266","WW2019 Aisle 4 Base Image V7","Recording269_Participant266_00.00.00-00.32.30.mp4","P266.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"34","","0","1495","0.28","22403","896.12","14092","3924","0","266","WW2019 Aisle 4 Base Image V7","Recording269_Participant266_00.00.00-00.32.30.mp4","P266.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"32","","0","1493","0.2","22392","895.68","14475","4359","0","266","WW2019 Aisle 4 Base Image V7","Recording269_Participant266_00.00.00-00.32.30.mp4","P266.csv","SD2B18S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
