"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"44","","0","1689","0.1","20206","808.24","15609","4188","0","70","WW2019 Aisle 4 Base Image V7","Recording071_Participant070_00.00.00-00.36.25.mp4","P70.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"45","","0","1690","0.44","20210","808.4","15584","4165","0","70","WW2019 Aisle 4 Base Image V7","Recording071_Participant070_00.00.00-00.36.25.mp4","P70.csv","SD2B19S4","path1784","2","B19S4","V","B19S1-6 V","Energy","Purple","Energy Multi Pack","V Energy Drink Sugar Free Tropical 4x275ml"
"46","","0","1691","0.2","20223","808.92","15060","4248","0","70","WW2019 Aisle 4 Base Image V7","Recording071_Participant070_00.00.00-00.36.25.mp4","P70.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
