"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"120","","0","1354","0.12","16792","671.68","15575","4003","0","265","WW2019 Aisle 4 Base Image V7","Recording268_Participant265_00.00.00-00.38.32.mp4","P265.csv","SD2B19S4","path1024","2","B19S4","V","B19S1-6 V","Energy","Grey","Energy Multi Pack","V Pure Energy Drink 250ml x4 pack"
"119","","0","1353","0.14","16787","671.48","15860","4101","0","265","WW2019 Aisle 4 Base Image V7","Recording268_Participant265_00.00.00-00.38.32.mp4","P265.csv","SD2B19S4","path1024","2","B19S4","V","B19S1-6 V","Energy","Grey","Energy Multi Pack","V Pure Energy Drink 250ml x4 pack"
"121","","0","1355","0.16","16800","672","15324","3843","0","265","WW2019 Aisle 4 Base Image V7","Recording268_Participant265_00.00.00-00.38.32.mp4","P265.csv","SD2B19S3","path1748","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Single Serve","V Energy Drink Sugar Free With Guarana 250ml"
