"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"11","","0","909","0.1","13485","539.4","13786","3967","0","74","WW2019 Aisle 4 Base Image V7","Recording075_Participant074_00.00.00-00.15.40.mp4","P74.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"28","","0","928","0.1","13678","547.12","13895","4016","0","74","WW2019 Aisle 4 Base Image V7","Recording075_Participant074_00.00.00-00.15.40.mp4","P74.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"26","","0","926","0.12","13652","546.08","14961","3661","0","74","WW2019 Aisle 4 Base Image V7","Recording075_Participant074_00.00.00-00.15.40.mp4","P74.csv","SD2B18S3","path1744","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Orange","Energy Single Serve","Red Bull Orange Energy Drink 250ml"
"27","","0","927","0.12","13656","546.24","15128","3572","0","74","WW2019 Aisle 4 Base Image V7","Recording075_Participant074_00.00.00-00.15.40.mp4","P74.csv","SD2B19S2","path1768","2","B18S2","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 250ml"
"8","","0","906","0.12","13465","538.6","15740","4095","0","74","WW2019 Aisle 4 Base Image V7","Recording075_Participant074_00.00.00-00.15.40.mp4","P74.csv","SD2B19S4","path1024","2","B19S4","V","B19S1-6 V","Energy","Grey","Energy Multi Pack","V Pure Energy Drink 250ml x4 pack"
"23","","0","923","0.16","13605","544.2","15118","4016","0","74","WW2019 Aisle 4 Base Image V7","Recording075_Participant074_00.00.00-00.15.40.mp4","P74.csv","SD2B19S4","path1780","2","B19S4","V","B19S1-6 V","Energy","Blue","Energy Multi Pack","V Energy Drink Blue 4x275ml"
"32","","0","932","0.18","13764","550.56","15543","3345","0","74","WW2019 Aisle 4 Base Image V7","Recording075_Participant074_00.00.00-00.15.40.mp4","P74.csv","SD2B19S1","path1730","2","B19S1","V","B19S1-6 V","Energy","Blue","Energy Single Serve","V Energy Drink Blue 500ml"
