"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"42","","0","1015","0.1","15759","630.36","15563","3869","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"44","","0","1018","0.1","15808","632.32","15612","3719","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"33","","0","1006","0.12","15700","628","15354","3885","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1748","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Single Serve","V Energy Drink Sugar Free With Guarana 250ml"
"34","","0","1007","0.12","15704","628.16","15575","3885","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"41","","0","1014","0.12","15755","630.2","15653","3764","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"47","","0","1023","0.12","15900","636","15171","4361","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"46","","0","1022","0.14","15893","635.72","15181","4310","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"38","","0","1011","0.32","15733","629.32","15534","3764","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"35","","0","1008","0.16","15708","628.32","15571","3881","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"39","","0","1012","0.16","15742","629.68","15516","3740","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"40","","0","1013","0.2","15748","629.92","15518","3746","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"43","","0","1016","0.2","15763","630.52","15575","3740","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"32","","0","1005","0.26","15692","627.68","14675","4218","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B18S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
"36","","0","1009","0.3","15713","628.52","15569","3916","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"37","","0","1010","0.3","15721","628.84","15639","3805","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"45","","0","1019","0.22","15811","632.44","15658","3711","0","68","WW2019 Aisle 4 Base Image V7","Recording069_Participant068_00.00.00-00.46.28.mp4","P68.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
