"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"51","","0","3233","0.1","47990","1919.6","14266","4282","0","129","WW2019 Aisle 4 Base Image V7","Recording131_Participant129_00.00.00-00.49.10.mp4","P129.csv","SD2B18S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
"52","","0","3234","0.12","48006","1920.24","14768","4440","0","129","WW2019 Aisle 4 Base Image V7","Recording131_Participant129_00.00.00-00.49.10.mp4","P129.csv","SD2B18S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
"49","","0","3230","0.32","47944","1917.76","14406","3892","0","129","WW2019 Aisle 4 Base Image V7","Recording131_Participant129_00.00.00-00.49.10.mp4","P129.csv","SD2B18S3","path1738","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 355ml"
"46","","0","3225","0.16","47836","1913.44","15446","4031","0","129","WW2019 Aisle 4 Base Image V7","Recording131_Participant129_00.00.00-00.49.10.mp4","P129.csv","SD2B19S4","path1782","2","B19S4","V","B19S1-6 V","Energy","Yellow","Energy Multi Pack","V Forbidden Fruits Energy Drink 250ml x4 pack"
