"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"44","","0","2401","0.12","27898","1115.92","14830","4292","0","64","WW2019 Aisle 4 Base Image V7","Recording065_Participant064_00.00.00-01.04.43.mp4","P64-2.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
"41","","0","2398","0.14","27879","1115.16","15205","3877","0","64","WW2019 Aisle 4 Base Image V7","Recording065_Participant064_00.00.00-01.04.43.mp4","P64-2.csv","SD2B19S3","path1746","2","B19S3","V","B19S1-6 V","Energy","Blue","Energy Single Serve","V Energy Drink Blue 250ml"
"42","","0","2399","0.18","27883","1115.32","15374","3860","0","64","WW2019 Aisle 4 Base Image V7","Recording065_Participant064_00.00.00-01.04.43.mp4","P64-2.csv","SD2B19S3","path1748","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Single Serve","V Energy Drink Sugar Free With Guarana 250ml"
"43","","0","2400","0.3","27889","1115.56","15532","3801","0","64","WW2019 Aisle 4 Base Image V7","Recording065_Participant064_00.00.00-01.04.43.mp4","P64-2.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
