"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"16","","0","1059","0.1","21766","870.64","14526","3963","0","44","WW2019 Aisle 4 Base Image V7","Recording044_Participant044_00.00.00-00.58.59.mp4","P44.csv","SD2B18S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"14","","0","1055","0.14","21668","866.72","15756","4617","0","44","WW2019 Aisle 4 Base Image V7","Recording044_Participant044_00.00.00-00.58.59.mp4","P44.csv","SD2B19S6","path1036-0","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink With Guarana 4x500ml"
"19","","0","1062","0.24","21843","873.72","14776","3840","0","44","WW2019 Aisle 4 Base Image V7","Recording044_Participant044_00.00.00-00.58.59.mp4","P44.csv","SD2B18S3","path1742","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink Sugar Free 250ml"
