"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"52","","0","1270","0.1","16871","674.84","15256","3970","0","127","WW2019 Aisle 4 Base Image V7","Recording129_Participant127_00.00.00-00.35.02.mp4","P127.csv","SD2B19S4","path1780","2","B19S4","V","B19S1-6 V","Energy","Blue","Energy Multi Pack","V Energy Drink Blue 4x275ml"
"79","","0","1302","0.1","17344","693.76","15308","4526","0","127","WW2019 Aisle 4 Base Image V7","Recording129_Participant127_00.00.00-00.35.02.mp4","P127.csv","SD2B19S6","path1807","2","B19S6","Red Bull","B19S6 Redbull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 473ml x4 pack"
"80","","0","1303","0.1","17348","693.92","15308","4669","0","127","WW2019 Aisle 4 Base Image V7","Recording129_Participant127_00.00.00-00.35.02.mp4","P127.csv","SD2B19S6","path1807","2","B19S6","Red Bull","B19S6 Redbull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 473ml x4 pack"
"81","","0","1305","0.64","17370","694.8","13673","4175","0","127","WW2019 Aisle 4 Base Image V7","Recording129_Participant127_00.00.00-00.35.02.mp4","P127.csv","SD2B17S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
