"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"189","","0","1837","0.1","20982","839.28","13672","4443","0","487","WW2019 Aisle 4 Base Image V7","Recording488_Participant487_00.00.00-00.32.18.mp4","P487.csv","SD2B17S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
"96","","0","1835","0.1","20954","838.16","14951","4279","0","487","WW2019 Aisle 4 Base Image V7","Recording488_Participant487_00.00.00-00.32.18.mp4","P487.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
"100","","0","1840","0.12","21001","840.04","15049","3773","0","487","WW2019 Aisle 4 Base Image V7","Recording488_Participant487_00.00.00-00.32.18.mp4","P487.csv","SD2B18S3","path1744","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Orange","Energy Single Serve","Red Bull Orange Energy Drink 250ml"
"102","","0","1842","0.16","21025","841","15757","4029","0","487","WW2019 Aisle 4 Base Image V7","Recording488_Participant487_00.00.00-00.32.18.mp4","P487.csv","SD2B19S4","path1024","2","B19S4","V","B19S1-6 V","Energy","Grey","Energy Multi Pack","V Pure Energy Drink 250ml x4 pack"
"99","","0","1839","0.26","20994","839.76","14450","3795","0","487","WW2019 Aisle 4 Base Image V7","Recording488_Participant487_00.00.00-00.32.18.mp4","P487.csv","SD2B18S3","path1738","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 355ml"
"101","","0","1841","0.2","21006","840.24","15708","3779","0","487","WW2019 Aisle 4 Base Image V7","Recording488_Participant487_00.00.00-00.32.18.mp4","P487.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"98","","0","1838","0.22","20987","839.48","14232","4263","0","487","WW2019 Aisle 4 Base Image V7","Recording488_Participant487_00.00.00-00.32.18.mp4","P487.csv","SD2B18S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
