"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"66","","0","582","0.12","7514","300.56","14826","3566","0","330","WW2019 Aisle 4 Base Image V7","Recording333_Participant330_00.00.00-00.19.06.mp4","P330.csv","SD2B18S2","path1756","2","B18S2","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 473ml"
"74","","0","590","0.16","7622","304.88","15773","4018","0","330","WW2019 Aisle 4 Base Image V7","Recording333_Participant330_00.00.00-00.19.06.mp4","P330.csv","SD2B19S4","path1024","2","B19S4","V","B19S1-6 V","Energy","Grey","Energy Multi Pack","V Pure Energy Drink 250ml x4 pack"
"71","","0","587","0.3","7571","302.84","14445","3789","0","330","WW2019 Aisle 4 Base Image V7","Recording333_Participant330_00.00.00-00.19.06.mp4","P330.csv","SD2B18S3","path1738","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 355ml"
