"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"66","","0","1568","0.14","18184","727.36","15509","3938","0","33","WW2019 Aisle 4 Base Image V7","Recording033_Participant033_00.00.00-00.54.37.mp4","P33.csv","SD2B19S4","path1784","2","B19S4","V","B19S1-6 V","Energy","Purple","Energy Multi Pack","V Energy Drink Sugar Free Tropical 4x275ml"
"65","","0","1567","0.18","18179","727.16","15577","4215","0","33","WW2019 Aisle 4 Base Image V7","Recording033_Participant033_00.00.00-00.54.37.mp4","P33.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"67","","0","1569","0.2","18189","727.56","15184","3789","0","33","WW2019 Aisle 4 Base Image V7","Recording033_Participant033_00.00.00-00.54.37.mp4","P33.csv","SD2B19S3","path1748","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Single Serve","V Energy Drink Sugar Free With Guarana 250ml"
