"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"36","","0","1285","0.1","15559","622.36","14442","3941","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B18S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"47","","0","1296","0.1","15620","624.8","15370","4019","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B19S4","path1782","2","B19S4","V","B19S1-6 V","Energy","Yellow","Energy Multi Pack","V Forbidden Fruits Energy Drink 250ml x4 pack"
"41","","0","1290","0.12","15587","623.48","14904","4146","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B18S4","path1778","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Multi Pack","Red Bull Energy Drink Zero 4x250ml"
"46","","0","1295","0.12","15616","624.64","15317","4057","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B19S4","path1782","2","B19S4","V","B19S1-6 V","Energy","Yellow","Energy Multi Pack","V Forbidden Fruits Energy Drink 250ml x4 pack"
"35","","0","1284","0.14","15550","622","14353","3938","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B18S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"43","","0","1292","0.16","15599","623.96","14932","4118","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B18S4","path1778","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Multi Pack","Red Bull Energy Drink Zero 4x250ml"
"128","","0","1291","0.16","15593","623.72","14921","4145","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B18S4","path1778","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Multi Pack","Red Bull Energy Drink Zero 4x250ml"
"49","","0","1298","0.16","15638","625.52","15652","4063","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B19S4","path1024","2","B19S4","V","B19S1-6 V","Energy","Grey","Energy Multi Pack","V Pure Energy Drink 250ml x4 pack"
"40","","0","1289","0.18","15580","623.2","14483","3794","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B18S3","path1738","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 355ml"
"48","","0","1297","0.18","15633","625.32","15639","4052","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B19S4","path1024","2","B19S4","V","B19S1-6 V","Energy","Grey","Energy Multi Pack","V Pure Energy Drink 250ml x4 pack"
"45","","0","1294","0.26","15609","624.36","14880","4451","0","490","WW2019 Aisle 4 Base Image V7","Recording491_Participant490_00.00.00-00.47.20.mp4","P490.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
