"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"41","","0","1490","0.12","18043","721.72","14935","3684","0","314","WW2019 Aisle 4 Base Image V7","Recording317_Participant314_00.00.00-00.36.02.mp4","P314.csv","SD2B18S3","path1744","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Orange","Energy Single Serve","Red Bull Orange Energy Drink 250ml"
"40","","0","1489","0.34","18034","721.36","15579","3713","0","314","WW2019 Aisle 4 Base Image V7","Recording317_Participant314_00.00.00-00.36.02.mp4","P314.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"42","","0","1491","0.5","18051","722.04","15077","4077","0","314","WW2019 Aisle 4 Base Image V7","Recording317_Participant314_00.00.00-00.36.02.mp4","P314.csv","SD2B18S4","path1778","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Multi Pack","Red Bull Energy Drink Zero 4x250ml"
"39","","0","1488","0.16","18029","721.16","15794","4162","0","314","WW2019 Aisle 4 Base Image V7","Recording317_Participant314_00.00.00-00.36.02.mp4","P314.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"43","","0","1492","0.28","18065","722.6","14660","3709","0","314","WW2019 Aisle 4 Base Image V7","Recording317_Participant314_00.00.00-00.36.02.mp4","P314.csv","SD2B18S3","path1740","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Single Serve","Red Bull Energy Drink Zero 250ml"
