"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"38","","0","1982","0.32","26003","1040.12","14599","3947","0","288","WW2019 Aisle 4 Base Image V7","Recording291_Participant288_00.00.00-00.34.44.mp4","P288.csv","SD2B18S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"37","","0","1981","0.16","25997","1039.88","14146","4186","0","288","WW2019 Aisle 4 Base Image V7","Recording291_Participant288_00.00.00-00.34.44.mp4","P288.csv","SD2B17S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
"39","","0","1984","0.16","26021","1040.84","14640","3876","0","288","WW2019 Aisle 4 Base Image V7","Recording291_Participant288_00.00.00-00.34.44.mp4","P288.csv","SD2B18S3","path1740","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Single Serve","Red Bull Energy Drink Zero 250ml"
