"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"81","","0","1120","0.12","12699","507.96","14045","4086","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"64","","0","1103","0.12","12554","502.16","15778","4236","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"87","","0","1126","0.14","12770","510.8","14033","3987","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"73","","0","1112","0.32","12635","505.4","14909","4105","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B18S4","path1778","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Multi Pack","Red Bull Energy Drink Zero 4x250ml"
"69","","0","1108","0.34","12591","503.64","15063","3726","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B18S3","path1744","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Orange","Energy Single Serve","Red Bull Orange Energy Drink 250ml"
"85","","0","1124","0.36","12751","510.04","13859","4113","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"77","","0","1116","0.36","12666","506.64","13887","4236","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
"84","","0","1123","0.4","12733","509.32","14033","4011","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"78","","0","1117","0.42","12677","507.08","14009","4089","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"68","","0","1107","0.42","12579","503.16","15047","4224","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
"83","","0","1122","0.48","12720","508.8","13997","4062","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"82","","0","1121","0.62","12703","508.12","13871","4208","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
