CLICK,GRAB,ATCHECKOUT,FIXATION,FIXDURAS,FRAME,TIMESTPS,X,Y,BOUGHT,SUBJECT,IMAGEFILE,VIDEOFILE,RAWFIXATIONFILE,BAYSHELFAOI,VARIANTAOI,SIDE,BAYSHELF,BRAND,BRANDBLOCK,CATEGORY,COLOUR,SEGMENT,VARIANT
69,,0,279,0.28,3989,159.56,15504,3626,0,186,WW2019 Aisle 4 Base Image V7,Recording188_Participant186_00.00.00-00.29.22.mp4,P186.csv,SD2B19S2,path1768,2,B18S2,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Single Serve,Red Bull Energy Drink 250ml
73,,0,283,0.3,4024,160.96,15595,3316,0,186,WW2019 Aisle 4 Base Image V7,Recording188_Participant186_00.00.00-00.29.22.mp4,P186.csv,SD2B19S1,path1730,2,B19S1,V,B19S1-6 V,Energy,Blue,Energy Single Serve,V Energy Drink Blue 500ml
39,,0,512,0.26,6616,264.64,13922,3997,0,190,WW2019 Aisle 4 Base Image V7,Recording192_Participant190_00.00.00-00.21.17.mp4,P190.csv,SD2B17S4,path1640,2,B17S4,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink 4x250ml
32,,0,505,0.26,6545,261.8,15007,3769,0,190,WW2019 Aisle 4 Base Image V7,Recording192_Participant190_00.00.00-00.21.17.mp4,P190.csv,SD2B18S3,path1744,2,B18S3,Red Bull,B17-19S2-5 Red Bull,Energy,Orange,Energy Single Serve,Red Bull Orange Energy Drink 250ml
35,,0,508,0.3,6576,263.04,13900,3983,0,190,WW2019 Aisle 4 Base Image V7,Recording192_Participant190_00.00.00-00.21.17.mp4,P190.csv,SD2B17S4,path1640,2,B17S4,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink 4x250ml
37,,0,510,0.2,6592,263.68,15131,3575,0,190,WW2019 Aisle 4 Base Image V7,Recording192_Participant190_00.00.00-00.21.17.mp4,P190.csv,SD2B19S2,path1768,2,B18S2,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Single Serve,Red Bull Energy Drink 250ml
36,,0,509,0.24,6585,263.4,14999,3779,0,190,WW2019 Aisle 4 Base Image V7,Recording192_Participant190_00.00.00-00.21.17.mp4,P190.csv,SD2B18S3,path1744,2,B18S3,Red Bull,B17-19S2-5 Red Bull,Energy,Orange,Energy Single Serve,Red Bull Orange Energy Drink 250ml
42,,0,4442,0.34,64825,2593,15134,3507,0,196,WW2019 Aisle 4 Base Image V7,Recording198_Participant196_00.00.00-01.22.26.mp4,P196.csv,SD2B19S2,path1768,2,B18S2,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Single Serve,Red Bull Energy Drink 250ml
43,,0,608,0.12,8231,329.24,15619,4043,0,197,WW2019 Aisle 4 Base Image V7,Recording199_Participant197_00.00.00-00.18.32.mp4,P197.csv,SD2B19S4,path1024,2,B19S4,V,B19S1-6 V,Energy,Grey,Energy Multi Pack,V Pure Energy Drink 250ml x4 pack
44,,0,609,0.16,8237,329.48,15607,3994,0,197,WW2019 Aisle 4 Base Image V7,Recording199_Participant197_00.00.00-00.18.32.mp4,P197.csv,SD2B19S4,path1024,2,B19S4,V,B19S1-6 V,Energy,Grey,Energy Multi Pack,V Pure Energy Drink 250ml x4 pack
32,,0,573,0.1,11763,470.52,15070,4369,0,200,WW2019 Aisle 4 Base Image V7,Recording202_Participant200_00.00.00-00.28.22.mp4,P200.csv,SD2B18S5,path1698,2,B18S5,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink Sugar Free 6x250ml
37,,0,579,0.14,11871,474.84,14577,3969,0,200,WW2019 Aisle 4 Base Image V7,Recording202_Participant200_00.00.00-00.28.22.mp4,P200.csv,SD2B18S4,path1640,2,B17S4,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink 4x250ml
