"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"124","","0","2027","0.14","37809","1512.36","15646","4539","0","367","WW2019 Aisle 4 Base Image V7","Recording370_Participant367_00.00.00-00.56.59.mp4","P367.csv","SD2B19S6","path1036-0","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink With Guarana 4x500ml"
"125","","0","2028","0.18","37835","1513.4","15856","3941","0","367","WW2019 Aisle 4 Base Image V7","Recording370_Participant367_00.00.00-00.56.59.mp4","P367.csv","SD2B19S4","path1024","2","B19S4","V","B19S1-6 V","Energy","Grey","Energy Multi Pack","V Pure Energy Drink 250ml x4 pack"
"123","","0","2025","0.3","37754","1510.16","13983","4327","0","367","WW2019 Aisle 4 Base Image V7","Recording370_Participant367_00.00.00-00.56.59.mp4","P367.csv","SD2B17S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
