"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"31","","0","1233","0.14","17511","700.44","14871","3553","0","501","WW2019 Aisle 4 Base Image V7","Recording501_Participant501_00.00.00-00.46.15.mp4","P501.csv","SD2B18S2","path1756","2","B18S2","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 473ml"
"32","","0","1234","0.14","17517","700.68","14842","3632","0","501","WW2019 Aisle 4 Base Image V7","Recording501_Participant501_00.00.00-00.46.15.mp4","P501.csv","SD2B18S2","path1756","2","B18S2","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink 473ml"
"30","","0","1232","0.26","17489","699.56","14778","3811","0","501","WW2019 Aisle 4 Base Image V7","Recording501_Participant501_00.00.00-00.46.15.mp4","P501.csv","SD2B18S3","path1742","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink Sugar Free 250ml"
"29","","0","1231","0.22","17481","699.24","14964","4019","0","501","WW2019 Aisle 4 Base Image V7","Recording501_Participant501_00.00.00-00.46.15.mp4","P501.csv","SD2B18S4","path1778","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Multi Pack","Red Bull Energy Drink Zero 4x250ml"
