"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"39","","0","1350","0.1","21681","867.24","14791","3881","0","498","WW2019 Aisle 4 Base Image V7","Recording498_Participant498_00.00.00-00.40.12.mp4","P498.csv","SD2B18S3","path1742","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink Sugar Free 250ml"
"42","","0","1354","0.1","21748","869.92","15580","4287","0","498","WW2019 Aisle 4 Base Image V7","Recording498_Participant498_00.00.00-00.40.12.mp4","P498.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"40","","0","1351","0.12","21685","867.4","14972","3857","0","498","WW2019 Aisle 4 Base Image V7","Recording498_Participant498_00.00.00-00.40.12.mp4","P498.csv","SD2B18S3","path1744","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Orange","Energy Single Serve","Red Bull Orange Energy Drink 250ml"
