"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"33","","0","2167","0.12","27295","1091.8","14759","3714","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B18S3","path1742","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink Sugar Free 250ml"
"21","","0","2143","0.12","27057","1082.28","15233","4529","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B19S6","path1807","2","B19S6","Red Bull","B19S6 Redbull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 473ml x4 pack"
"24","","0","2157","0.34","27195","1087.8","14523","4159","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B18S5","path1642","2","B17S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 6x250ml"
"28","","0","2161","0.56","27225","1089","14819","4177","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
"30","","0","2163","0.14","27247","1089.88","14913","4140","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B18S4","path1778","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Multi Pack","Red Bull Energy Drink Zero 4x250ml"
"27","","0","2160","0.16","27221","1088.84","14938","4286","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
"23","","0","2149","0.16","27126","1085.04","15770","4425","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"32","","0","2166","0.28","27283","1091.32","14879","4128","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
"26","","0","2159","0.3","27213","1088.52","14831","4409","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
"25","","0","2158","0.3","27205","1088.2","15111","4112","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B19S4","path1780","2","B19S4","V","B19S1-6 V","Energy","Blue","Energy Multi Pack","V Energy Drink Blue 4x275ml"
"31","","0","2165","0.2","27277","1091.08","14902","4126","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B18S4","path1778","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Multi Pack","Red Bull Energy Drink Zero 4x250ml"
"29","","0","2162","0.22","27240","1089.6","14821","4178","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
"34","","0","2169","0.22","27449","1097.96","15058","4209","0","302","WW2019 Aisle 4 Base Image V7","Recording305_Participant302_00.00.00-00.43.46.mp4","P302.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
